policy,hour,battery_soh,pemel_soh,pemfc_soh
C2,6753,0.998843611130037,0.982252215109576,0.999905651515152
C2,6754,0.998843525931014,0.9822496887937872,0.999905651515152
C2,6755,0.998843440738297,0.9822471624779974,0.999905651515152
C2,6756,0.998843355551885,0.9822446361622076,0.999905651515152
C2,6757,0.998843270371776,0.9822421098464187,0.999905651515152
C2,6758,0.998843185197969,0.982239583530629,0.999905651515152
C2,6759,0.998843100030462,0.9822370572148391,0.999905651515152
C2,6760,0.998843014869255,0.9822345308990503,0.999905651515152
C2,6761,0.998842929714345,0.9822320045832605,0.999905651515152
C2,6762,0.998842844565732,0.9822294782674708,0.999905651515152
C2,6763,0.998842759423413,0.9822269519516819,0.999905651515152
C2,6764,0.998842674287389,0.9822244256358922,0.999905651515152
C2,6765,0.998842589157656,0.9822218993201023,0.999905651515152
C2,6766,0.998842504034214,0.9822193730043134,0.999905651515152
C2,6767,0.998842418917061,0.9822168466885237,0.999905651515152
C2,6768,0.998842333806197,0.9822143203727339,0.999905651515152
C2,6769,0.998842248701619,0.9822117940569441,0.999905651515152
C2,6770,0.998842163603326,0.9822092677411552,0.999905651515152
C2,6771,0.998842078511317,0.9822067414253655,0.999905651515152
C2,6772,0.998841993425591,0.9822042151095757,0.999905651515152
C2,6773,0.998841908346145,0.9822016887937869,0.999905651515152
C2,6774,0.998841823272979,0.982199162477997,0.999905651515152
C2,6775,0.998841738206092,0.9821966361622082,0.999905651515152
C2,6776,0.998841653145481,0.9821941098464184,0.999905651515152
C2,6777,0.998841568091145,0.9821915835306286,0.999905651515152
C2,6778,0.998841483043084,0.9821890572148398,0.999905651515152
C2,6779,0.998841398001295,0.98218653089905,0.999905651515152
C2,6780,0.998841312965778,0.9821840045832602,0.999905651515152
C2,6781,0.99884122793653,0.9821814782674714,0.999905651515152
C2,6782,0.998841142913551,0.9821789519516816,0.999905651515152
C2,6783,0.99884105789684,0.9821764256358918,0.999905651515152
C2,6784,0.998840972886394,0.9821738993201029,0.999905651515152
C2,6785,0.998840887882212,0.9821713730043131,0.999905651515152
C2,6786,0.998840802884293,0.9821688466885234,0.999905651515152
C2,6787,0.998840717892636,0.9821663203727345,0.999905651515152
C2,6788,0.998840632907239,0.9821637940569447,0.999905651515152
C2,6789,0.998840547928101,0.982161267741155,0.999905651515152
C2,6790,0.99884046295522,0.9821587414253661,0.999905651515152
C2,6791,0.998840377988595,0.9821562151095763,0.999905651515152
C2,6792,0.998840293028225,0.9821536887937865,0.999905651515152
C2,6793,0.998840208074109,0.9821511624779977,0.999905651515152
C2,6794,0.998840123126244,0.9821486361622078,0.999905651515152
C2,6795,0.99884003818463,0.9821461098464181,0.999905651515152
C2,6796,0.998839953249264,0.9821435835306292,0.999905651515152
C2,6797,0.998839868320147,0.9821410572148396,0.999905651515152
C2,6798,0.998839783397276,0.9821385308990497,0.999905651515152
C2,6799,0.99883969848065,0.9821360045832608,0.999905651515152
C2,6800,0.998839613570268,0.9821334782674711,0.999905651515152
C2,6801,0.998839528666128,0.9821309519516813,0.999905651515152
C2,6802,0.998839443768229,0.9821284256358924,0.999905651515152
C2,6803,0.998839358876569,0.9821258993201026,0.999905651515152
C2,6804,0.998839273991148,0.9821233730043128,0.999905651515152
C2,6805,0.998839189111963,0.982120846688524,0.999905651515152
C2,6806,0.998839104239014,0.9821183203727343,0.999905651515152
C2,6807,0.998839019372298,0.9821157940569444,0.999905651515152
C2,6808,0.998838934511816,0.9821132677411555,0.999905651515152
C2,6809,0.998838849657564,0.9821107414253658,0.999905651515152
C2,6810,0.998838764809543,0.982108215109576,0.999905651515152
C2,6811,0.99883867996775,0.9821056887937862,0.999905651515152
C2,6812,0.998838595132184,0.9821031624779973,0.999905651515152
C2,6813,0.998838510302844,0.9821006361622076,0.999905651515152
C2,6814,0.998838425479728,0.9820981098464188,0.999905651515152
C2,6815,0.998838340662835,0.982095583530629,0.999905651515152
C2,6816,0.998838255852164,0.9820930572148391,0.999905651515152
C2,6817,0.998838171047714,0.9820905308990503,0.999905651515152
C2,6818,0.998838086249482,0.9820880045832605,0.999905651515152
C2,6819,0.998838001457468,0.9820854782674707,0.999905651515152
C2,6820,0.99883791667167,0.9820829519516819,0.999905651515152
C2,6821,0.998837831892087,0.982080425635892,0.999905651515152
C2,6822,0.998837747118717,0.9820778993201023,0.999905651515152
C2,6823,0.998837662351559,0.9820753730043135,0.999905651515152
C2,6824,0.998837577590613,0.9820728466885237,0.999905651515152
C2,6825,0.998837492835875,0.9820703203727339,0.999905651515152
C2,6826,0.998837408087346,0.9820677940569451,0.999905651515152
C2,6827,0.998837323345023,0.9820652677411552,0.999905651515152
C2,6828,0.998837238608905,0.9820627414253655,0.999905651515152
C2,6829,0.998837153878992,0.9820602151095766,0.999905651515152
C2,6830,0.99883706915528,0.9820576887937869,0.999905651515152
C2,6831,0.99883698443777,0.9820551624779971,0.999905651515152
C2,6832,0.99883689972646,0.9820526361622082,0.999905651515152
C2,6833,0.998836815021349,0.9820501098464184,0.999905651515152
C2,6834,0.998836730322434,0.9820475835306287,0.999905651515152
C2,6835,0.998836645629715,0.9820450572148398,0.999905651515152
C2,6836,0.998836560943191,0.9820425308990499,0.999905651515152
C2,6837,0.99883647626286,0.9820400045832602,0.999905651515152
C2,6838,0.99883639158872,0.9820374782674713,0.999905651515152
C2,6839,0.99883630692077,0.9820349519516817,0.999905651515152
C2,6840,0.99883622225901,0.9820324256358918,0.999905651515152
C2,6841,0.998836137603437,0.9820298993201029,0.999905651515152
C2,6842,0.99883605295405,0.9820273730043132,0.999905651515152
C2,6843,0.998835968310849,0.9820248466885234,0.999905651515152
C2,6844,0.99883588367383,0.9820223203727345,0.999905651515152
C2,6845,0.998835799042994,0.9820197940569447,0.999905651515152
C2,6846,0.998835714418339,0.9820172677411549,0.999905651515152
C2,6847,0.998835629799863,0.982014741425366,0.999905651515152
C2,6848,0.998835545187566,0.9820122151095764,0.999905651515152
C2,6849,0.998835460581445,0.9820096887937865,0.999905651515152
C2,6850,0.998835375981499,0.9820071624779977,0.999905651515152
C2,6851,0.998835291387728,0.9820046361622079,0.999905651515152
C2,6852,0.998835206800129,0.9820021098464181,0.999905651515152
C2,6853,0.998835122218702,0.9819995835306293,0.999905651515152
C2,6854,0.998835037643444,0.9819970572148394,0.999905651515152
C2,6855,0.998834953074356,0.9819945308990496,0.999905651515152
C2,6856,0.998834868511434,0.9819920045832609,0.999905651515152
C2,6857,0.998834783954679,0.9819894782674711,0.999905651515152
C2,6858,0.998834699404088,0.9819869519516812,0.999905651515152
C2,6859,0.99883461485966,0.9819844256358925,0.999905651515152
C2,6860,0.998834530321394,0.9819818993201026,0.999905651515152
C2,6861,0.998834445789289,0.9819793730043128,0.999905651515152
C2,6862,0.998834361263343,0.981976846688524,0.999905651515152
C2,6863,0.998834276743555,0.9819743203727342,0.999905651515152
C2,6864,0.998834192229924,0.9819717940569443,0.999905651515152
C2,6865,0.998834107722447,0.9819692677411556,0.999905651515152
C2,6866,0.998834023221125,0.9819667414253658,0.999905651515152
C2,6867,0.998833938725954,0.9819642151095761,0.999905651515152
C2,6868,0.998833854236935,0.9819616887937872,0.999905651515152
C2,6869,0.998833769754066,0.9819591624779973,0.999905651515152
C2,6870,0.998833685277346,0.9819566361622076,0.999905651515152
C2,6871,0.998833600806772,0.9819541098464187,0.999905651515152
C2,6872,0.998833516342344,0.981951583530629,0.999905651515152
C2,6873,0.998833431884061,0.9819490572148392,0.999905651515152
C2,6874,0.998833347431921,0.9819465308990503,0.999905651515152
C2,6875,0.998833262985922,0.9819440045832605,0.999905651515152
C2,6876,0.998833178546064,0.9819414782674708,0.999905651515152
C2,6877,0.998833094112345,0.9819389519516819,0.999905651515152
C2,6878,0.998833009684764,0.981936425635892,0.999905651515152
C2,6879,0.998832925263319,0.9819338993201023,0.999905651515152
C2,6880,0.998832840848009,0.9819313730043134,0.999905651515152
C2,6881,0.998832756438833,0.9819288466885238,0.999905651515152
C2,6882,0.998832672035789,0.9819263203727339,0.999905651515152
C2,6883,0.998832587638876,0.9819237940569451,0.999905651515152
C2,6884,0.998832503248093,0.9819212677411553,0.999905651515152
C2,6885,0.998832418863439,0.9819187414253655,0.999905651515152
C2,6886,0.998832334484911,0.9819162151095766,0.999905651515152
C2,6887,0.998832250112509,0.9819136887937868,0.999905651515152
C2,6888,0.998832165746231,0.981911162477997,0.999905651515152
C2,6889,0.998832081386077,0.9819086361622081,0.999905651515152
C2,6890,0.998831997032044,0.9819061098464185,0.999905651515152
C2,6891,0.998831912684132,0.9819035835306286,0.999905651515152
C2,6892,0.998831828342339,0.9819010572148398,0.999905651515152
C2,6893,0.998831744006663,0.98189853089905,0.999905651515152
C2,6894,0.998831659677104,0.9818960045832602,0.999905651515152
